"Headline","Bias","Reliability"
"Adam Schiff’s Secret Subpoenas","16.67","32"
"The Billion Dollar California-China Mask Deal","13.67","23"
"BLM “Racial Justice” Riots Result in Record Number of Domestic Terrorism Cases","13.33","42.67"
"Biden Scandal Update","18.33","30.67"
"Trump on the Front Lines: Big Bet on Virus Drug Gets Personal","23.83","22.17"
"UN’s U.S.-Funded Global COVID-19 Response Promotes Abortion, Sexual Health Services","25.33","26.33"
"Judicial Watch and Election Integrity Project California Both Work to Restore Voter Confidence Nationwide","19.67","34"
"Judicial Watch Sues to Stop California Governor Newsom’s “Vote by Mail” Mandate","20.5","26.17"
"New #ObamaGate Revelations That Implicate Obama, Biden","25","16.67"
"Celebrating Ramadan U.S. Gives Terrorist Nation $22 Million to Fight COVID-19","24.17","21.5"
"Federal Court Orders Hearing on Judicial Watch Request for Temporary Restraining Order to Prevent Montgomery County, MD from Providing Cash Benefit Payments to Illegal Aliens","17.67","35.5"
"Judicial Watch Asks California Court of Appeal to Command Lower Court to Issue Temporary Restraining Order Halting Governor from Paying $75 Million In Cash Benefits to Illegal Aliens","15.33","36.67"
"CA & MD Cash Payments to Illegals, Ramadan Money & #ObamaGate","24.83","22"
"The Exoneration of General Flynn","34","23"
"Judicial Watch Files Lawsuit and Asks for Temporary Restraining Order to Stop Maryland County’s Plan to Provide $5 Million to Illegal Aliens","29.33","44"
"Judicial Watch Seeks Fauci-WHO Communications","25.33","28.67"
"Hillary Clinton Resists Court Order to Produce After Action Memo on Search and Review Process that Lead to Deletion of Her Emails; Judicial Watch Files Motion to Compel","26","35.5"
"Assault on democracy: Sen. Josh Hawley has blood on his hands in Capitol coup attempt","-12","29"
"At least 1,400 Kansas college students, staff have gotten COVID-19. It’s still early","-2.5","41"
"https://www.kansascity.com/sports/college/big-12/university-of-kansas/article245328540.html","-4","52"
"https://www.kansascity.com/sports/college/sec/university-of-missouri/article245340645.html","-8.67","47.17"
"https://www.kansascity.com/news/politics-government/article245299775.html","-4.67","49.67"
"https://www.kansascity.com/article245332365.html","-12.67","34.33"
"https://www.kansascity.com/news/coronavirus/article245323585.html","1.67","41.67"
"https://www.kansascity.com/news/politics-government/article244771922.html","1.67","40.33"
"https://www.kansascity.com/opinion/opn-columns-blogs/dave-helling/article244752077.html","1","40"
"https://www.kansascity.com/news/politics-government/article244755862.html","-3.33","44.67"
"https://www.kansascity.com/news/local/crime/article244745292.html","-1.67","45.33"
"https://www.kansascity.com/news/local/crime/article244745292.html","-1.33","46.67"
"https://www.kansascity.com/news/coronavirus/article244739357.html","1","49.67"
"https://www.kansascity.com/news/politics-government/election/article244743007.html","2.67","43.67"
"State lawmakers continue crusade against Roe vs. Wade with flood of new abortion bills","-6","45.67"
"Opinion: Ethnic cleansing, corrupt leaders, terror: What readers are saying about Israel, Palestine","-2","26.67"
"California just hit 95% renewable energy. Will other states come along for the ride?","-5","45.33"
"L.A. County set for major reopening as it hits yellow tier with growing hope of real recovery","-1.33","47"
"Column: Maxine Waters was never an issue in the Chauvin trial — even though the GOP tried to make her one","-11.33","33.33"
"Column: A week later, here’s what happened to some of the homeless people booted from Echo Park","-4.67","41.67"
"Indoor events can return in California later this month as COVID-19 conditions improve","-0.67","48.67"
"Tesla touts self-driving to consumers. To the DMV, it tells a different tale","0","48.67"
"Rancho Mirage lands the country’s first 3-D-printed housing community","-0.33","45.67"
"Column: Where QAnon goes, so goes the Republican Party","1.67","44"
"Wind power didn’t cause the Texas blackouts. But it wasn’t just fossil fuels, either","-4.71","45"
"https://www.latimes.com/opinion/story/2021-02-05/trumpite-neighbor-unity-capitol-attack","-14","24.67"
"Op-Ed: I called Arizona for Biden on Fox News. Here’s what I learned","0","46"
"Op-Ed: Ted Lieu: Why we will impeach Trump a second time","-7","38"
"‘Second revolution begins’: Armed right-wing groups celebrate Capitol attack","-6.67","43"
"President Trump posts unedited ‘60 Minutes’ interview on Facebook","-5","44.75"
"Judge blocks Trump from restricting visas for high-skill workers","-7.33","50"
"California task force will consider paying reparations for slavery","-7","47"
"‘I will do everything I can to find you.’ As mother frets over missing son, LAPD investigates","0","49.67"
"Trump is 74, male and obese. All put him at greater risk of severe COVID-19","-0.33","53"
"Op-Ed: The truth behind Trump’s need to lie","-19","33.33"
"L.A. County deputy alleges ‘Executioner’ gang dominates Compton sheriff station","-3.67","50.67"
"Column: Why doesn’t Trump want kids taught that this country was built on the backs of enslaved Black people?","-10.75","37.25"
"TikTok creators flocked to L.A. to become stars. What will they do if Trump’s ban takes effect?","-4.67","44.33"
"Heat wave to bake Southern California, creating potential fire danger","-1.83","55.33"
"Drive hits wrong pedal, sending car crashing into convenience store","0","45.67"
"At 240 years old, Laconia’s oldest house still charms","0","45"
"Organizer wants to bring back triathlon","0","47.33"
"COVID in Belknap: 54 new cases, two deaths","0","51.33"
"Splinter Republican reps sign 'termination of the state' document calling Sununu a ‘tyrant’","1.67","47"
"First vaccine shipment arrives at Speare Memorial Hospital in rural New Hampshire","0","48.33"
"Community forum to discuss tolerance set for Wednesday","-1.67","40.67"
"Audit: Staffing shortages lead to mail delivery delays","0.67","45.67"
"State Rep. Dawn Johnson issues statement on controversy","5.33","33"
"It’s official: Sale of LRGH, Franklin assets to Concord Hospital formally approved","0","47.33"
"Judge clears way for Concord Hospital to purchase LRGH","0","44.33"
"These hives are the bee's knees","0","45.67"
"No direct aid to municipalities, state included in pandemic relief","0","48"
"Vaccinations prove to be a Christmas present for vets home residents","0","43.67"
"Cold weather heightens shelter needs","0","47.33"
"LETTER: There is no Clark County teen suicide trend","0","24"
"DEBRA J. SAUNDERS: If schools are essential, they should be open","9.5","30.75"
"Las Vegas faces a steep climb in diversifying away from tourism","1","46.33"
"Underground transit system may soon expand into Las Vegas Strip","0","48"
"EDITORIAL: President Donald Trump seeks to delay the inevitable","-5.5","40.5"
"Nevada reports 1,068 new coronavirus cases, 7 deaths","0","51"
"Donald Trump’s odds vs. Joe Biden slump after overnight surge","0","37.33"
"Democrats gained ground in Senate, but delays expected","-5.67","48"
"Nevada won’t release new vote totals until Thursday","-1","50.33"
"Trump has ‘mild symptoms’ after confirming positive test for COVID-19","-7.5","44.25"
"Raiderettes get a new look for Las Vegas","2.33","45"
"Longtime Las Vegas exotic pets dealer Ken Foose dies","0.67","44.33"
"Some Nevada evictions can still proceed despite moratorium","-1","37.33"
"2 Las Vegas residents face kidnapping, sex assault charges","0.67","45.33"
"New unemployment officials reveal plans to get jobless in Nevada help","0","49"
"Golden Knights’ Alex Tuch buys 2nd Las Vegas home in Summerlin","4","43.67"
"Hotel owners facing ‘unprecedented wave’ of foreclosures, group says","6.17","39.67"
"Gaming icon sells Henderson mansion for $11.25M","-0.67","38.33"
"NEVADA VIEWS: Your favorite Vegas restaurant is dead","-1","31.33"
"Tropicana for sale on Las Vegas Strip","0.83","53.17"
"Metro lieutenant dies after battling coronavirus","-2.33","44"
"Suspected boogaloo Stephen Parshall facing new child sex charge","-3.67","49"
"Nevada Legislature special session won’t start until Friday, at earliest","-0.33","49"
"Man, woman killed while sitting in car in central Las Vegas","0.33","49"
"President Trump Condemns Abortions on Babies With Down Syndrome: They “Deserve Love”","14.67","29"
"Fact: An Unborn Baby is a Human Being and Abortions Kill Children","19.33","29"
"Democratic Senator Who Admitted Hitting His Wife Casts Final Nominating Vote For Joe Biden","25.67","21.33"
"Trump Admin Slams China After New Reports of Forced Abortions: “Campaign of Brutal Repression”","19.33","29.33"
"Ratings for Democrat Convention Drop 28% as Americans Oppose Pro-Abortion Joe Biden","24","18.33"
"John Kasich: It’s OK for Republicans to Vote for Biden, Even Though He Supports Killing Babies","25","21.33"
"Justice Clarence Thomas: “From the Beginning, Abortion Was Promoted as a Means of Eugenics”","22.44","25.56"
"ABC Coronavirus Special Never Mentions Andrew Cuomo Killing Nursing Home Residents","28.5","24.25"
"Judge Refuses to Dismiss Bogus Charges Against David Daleiden for Exposing Planned Parenthood","26.5","19.25"
"Kamala Harris Claims President Trump’s “Secret Police” Will Steal the Election","18.33","40.33"
"Trump Admin Fights Judge’s Order Making It Easier to Kill Babies in Abortions","15.67","35"
"Joe Biden Celebrates Abortion, Calls Killing Babies in Abortions a “Constitutional Right”","20.44","24.41"
"Abortionist Who is a Convicted Sex Offender May Have to Close His Seven Abortion Clinics","27.75","21"
"Teachers’ Unions Push Abortions on Children as Young as 12 Without Their Parents’ Knowledge","25.83","19.17"
"Abortion Activist’s Crazy Claim: “Unplanned” Movie Will “Radicalize” Pro-Lifers, Make Them “Violent”","23","29"
"Alabama Bill Would Ban Abortions and Make Killing Unborn Babies a Felony","21.33","28.83"
"Packed Theater Gives “Unplanned” Movie Standing Ovation After Glitzy Hollywood Premier","22.67","21.67"
"Two Catholic Priests Go Inside Abortion Clinics to Save Babies From Abortion","24.67","20.67"
"WATCH: Beto O’Rourke Supports Taxpayer-Funded Third Trimester Abortions","16","31"
"Actress Alyssa Milano Refuses to Call People Against Abortion “Pro-Life.” They’re Just “Anti-Choice”","9","34.67"
"Pro-Abortion Candidate Beto O’Rourke Fantasized About Running Over Children With a Car","25.5","27.25"
"Mr. “Don’t Wear a Mask” Fauci Trashes Trump for His Own Mistakes","25.33","19.67"
"Newsom Panics Over Recall Effort, Lifts Stay At Home Order","19","25.33"
"Susan Rice Leaves The Board Of Netflix So She Can Take Job In Biden Administration","5.33","45.67"
"Meet The Republican Woman Who Gave Pelosi What's Being Described As Her 'Most Bitter Loss'","8","39.33"
"What About A New Form of Government?","10.33","26.33"
"Justice Alito Sounds An Alarm Over Biden And PC","14","37.67"
"Franklin Graham Praises President On Supreme Court Appointments","12","38.67"
"Tulsi Gabbard Presses For Other Pardons","9.33","38.33"
"BLM rioter kicks Trump supporter in the head while he's flat on his back: 'He just got his a** beat'","25.33","36.33"
"Attorney General Barr bombs premise of Black Lives Matter","22.33","20.67"
"WATCH: Nancy Pelosi gets special treatment, violates California virus regulations","24.67","23.67"
"Michael Cohen tell-all book on President Trump reads like an amusing fairytale","26.33","25"
"DNC moderator skips ‘under God’ during Pledge of Allegiance","18.33","26.33"
"In lockstep with PC culture, ACLU wants DHS abolished","32","17.67"
"New Reports Indicate Trouble between Obama and Biden","31","13.67"
"Senate exonerates President Trump, once again regarding the Russia collusion fairytale","24","13"
"Seth Rogen says Israel 'makes no sense:' It's like putting Jews 'in a blender'","24","18.67"
"WATCH: 'Chairman' Jerry Nadler falls asleep during House Judiciary Committee hearing with Attorney General Bill Barr","28.78","19.89"
"Bernard Kerik: Black Lives Matter's roots are showing","27.67","15.67"
"Regis Philbin’s cause of death is finally revealed days after his passing","1","42"
"Tim Tebow gets censored by Twitter for Christian message: Labelled 'sensitive content'","16.67","38.67"
"Opinion: Will corporate greed prolong the COVID-19 pandemic?","-5.67","39.67"
"Moderna reports $1.7 billion in COVID-19 vaccine sales, posts first profit ever","0","51.33"
"Facebook and Amazon set records in annual spending on Washington lobbying","0","47"
"Trump reportedly refuses to pay Giuliani’s ‘Stop the Steal’ legal bills","-9.33","36.33"
"White House doctor says Trump can carry out duties without disruption","0","52.67"
"World leaders react to President Donald Trump saying he tested positive for COVID-19","1.67","50.67"
"In secret tape, Melania Trump profanely airs frustrations over criticism of her","-14","33.33"
"Putin sends Trump a telegram offering ‘sincere support’ after positive coronavirus test","0","53.67"
"Trump begins ‘quarantine process’ after aide Hope Hicks tests positive for coronavirus","-2.67","49.67"
"Hillary Clinton admits she wanted to tell Donald Trump to ‘shut up’ during presidential debate","-6.33","51"
"Rick Santorum is not impressed with the New York Times story on Trump’s taxes — how many voters feel the same way?","1.43","39.29"
"The narrative driving markets is about to get challenged on Wednesday <U+2060>— here’s why","0","46"
"Why investors should sell stocks now to get ready for the big rally that’s coming","0.5","37.5"
"Tesla's stock set to slip, which would snap best 5-day performance in 6 weeks","1","50"
"MyPillow fight: CNN’s Anderson Cooper tears into Mike Lindell over claim that oleandrin is a coronavirus cure","-15.67","42"
"Bill Gates, Elon Musk, Jeff Bezos and the rest of the ‘Oligarchic Dozen’ just reached a ‘disturbing milestone’","-7.33","32"
"Samsung profit surges on strong chip demand","0.67","51.5"
"America’s ‘sad state of affairs,’ captured in one disturbing chart","-7","43.33"
"This is the age group most affected by the COVID crisis","-0.25","49.5"
"Huawei tops Samsung as world’s No. 1 smartphone company for first time","0","48.5"
"Here are five value-stock picks that set up your portfolio for a pandemic recovery","0","41.67"
"Trump vetoes bill to end U.S. military aid for Saudis in Yemen war","0","49.5"
"Stock market at ‘risk of a melt-up, not a meltdown’, warns BlackRock’s Larry Fink","4.5","36.25"
"Asian markets little changed as China’s economy holds steady","0","50"
"Qualcomm gets big windfall in surprise settlement, but Apple may have saved the iPhone from 5G doom","0.25","48"
"If talking to your racist friends and family has been impossible, try this instead","-24","34"
"Activism","-2","42"
"How to commemorate Martin Luther King Jr. Day from home","-8.33","43.67"
"What is Signal? The basics of the most secure messaging app.","1.67","45"
"Don't worry kids, Dr. Fauci said he vaccinated Santa Claus","-4.67","38"
"Congress throws garbage copyright and streaming rules in with COVID relief bill","-7","36"
"Congresswoman's good dog, named 'Fauci,' adorably interrupts CNN interview","-3.67","40"
"Twitter now lets you 'turn off retweets' for accounts with bad taste","0","43"
"Hawaii's Kilauea volcano awakes, awesomely fountains lava into the air","0","48.33"
"Ivanka Trump knows nothing about how greenhouse gases work","-17","33"
"This was easily the warmest November on record","-2.33","47"
"How parents can support the young activists in their lives","-2.67","40.33"
"6 steps you can take to be an activist, no matter your age","-7.33","39.33"
"This 22-year-old DACA recipient empowers undocumented youth and the immigrant community","-8.67","42.67"
"How to delete your Instagram account. Bye, Mark Zuckerberg.","0","40.67"
"Houston, there's a turd floating around the Moon – Space is Weird","0","38.33"
"Netflix's 'Song Exploder' is for music superfans, not casual listeners","0","35.33"
"Twitter Erupts With Jokes After Trump Launches New Social ‘Platform’: Congrats on ‘Inventing a Blog’","-6.67","39"
"Kevin McCarthy Caught on Fox News Hot Mic Bashing Liz Cheney","0","44.33"
"MSNBC Needs to Part Ways With the Lincoln Project","1","34.67"
"Sarah Huckabee Sanders Reportedly Announcing On Monday She’s Running for Governor of Arkansas","-1.33","43.33"
"Jim Acosta: After Inauguration, Trump Just Another 'Crackpot'","-8","37.33"
"Tucker Carlson Issues Apology for Dead Georgia Voter Claim","-7.33","45.33"
"MSNBC Reporter Alarmed as Million MAGA Marchers Shout Down Her Live Shot: ‘They’re Following Us and Chasing Us!’","-9","44"
"Chuck Todd Blasts Trump's Attacks on Election","-13","39.67"
"Jake Tapper Torches Trump Campaign's 'Fact-Free' Legal Fight","-19.67","33"
"Lou Dobbs Goes Full Conspiracist, Angrily Demands GOP Refuse to Accept Election Results That Deny Trump ‘What Is Rightfully His’","-16.67","39"
"Justice Alito’s Federalist Society Speech Was the Judicial Equivalent of a Trump Rally","-14","34.33"
"Build Back … Batter? K-Pop Fans Ruin Million MAGA March Hashtag with Pancakes","-16","37.67"
"Trump Cites Debunked Conspiracy that Dominion Changed Votes","-14.15","37.92"
"Trump Administration Reportedly Had to Exclude a Bunch of Anti-Trump Celebs From $250 Million Coronavirus Ad Campaign","-6.67","47"
"Maria Bartiromo Pushes Debunked Election Conspiracy Theories","-10.33","53"
"Madison Cawthorn on Projected House Win: 'Cry More, Lib'","-10.25","43"
"Trump Floated a 2024 Run to Advisers if He Loses to Biden","-5","36.25"
"Watch Lindsey Graham’s Attention Comically Wander as Fox News Keeps Camera on Him During Mike Lee’s Amy Coney Barrett Speech","-8.33","28.67"
"Fox News Anchor Chris Wallace Blames Trump for Debate","-7.67","43"
"Trump Fires Back at Obama on Economy","-13","39.86"
"Daylight saving time: When will twilight begin and end now?","0","47.33"
"I’m high-risk for COVID-19 and eligible for a vaccine starting Monday. What do I need to know?","0","50.67"
"When the COVID crisis hit, the Bay Area failed Latino residents. Here’s why","0","50.67"
"COVID: Here’s why fewer in the Bay Area qualify for stimulus payments","-6.33","47.67"
"Exclusive: Two worrisome coronavirus variants found in Bay Area","0","56"
"Warriors’ Klay Thompson feared to have torn Achilles tendon","0.67","37.67"
"35+ Bay Area restaurants that did not survive the coronavirus pandemic","1","44.67"
"Melania Trump’s not likely to dump Trump: ‘They deserve each other,’ Michael Cohen says in new report","-3.67","25"
"Operator of popular Bay Area pumpkin patch sells off more property","-0.33","41.33"
"Gov. Newsom’s French Laundry dinner raises question of what counts as outdoor dining","1.1","47.5"
"Trump calls off stimulus talks until after election; markets drop","-5","48.33"
"San Mateo County added to coronavirus county monitoring list as state continues deadliest stretch in pandemic","-1.67","52.5"
"Coronavirus: California breaks single-day death record, with fatalities all over the state","-1.33","52.83"
"San Jose tech firm to pay back wages after firing workers who sought coronavirus sick leave","-2.67","55.33"
"As coronavirus unemployment ends, sidelined Bay Area workers ask: What now?","-9.33","38"
"Coronavirus: Tech, biotech layoffs surface in Bay Area","0","51"
"Army vet marching 1,800 miles to fight veteran suicide","0","47.67"
"End the National Guard mission at the US Capitol","1.33","37"
"Pilots, maintainers are worn out and under-trained, aviation safety commission says","3.67","41.33"
"Why San Antonio should host US Space Command","0","35"
"Biden’s pick for VA secretary may be a post-9/11 veteran","-2","48"
"What troops think of Biden and Trump, and a shark joins swim call","-0.67","47.33"
"New coalition urges states to get their absentee ballots in time to troops, families, overseas voters","-1.33","50.33"
"Natural disasters, a pandemic, and unrest. The National Guard remains busy","1.33","49.33"
"Overseas military, family members now have this free express mail option for their absentee ballot","-0.67","53.67"
"City of San Antonio illegally auctioned off more than 200 troops’ vehicles, DOJ alleges","-0.33","52.67"
"Post office officials backtrack on service changes that delayed veterans’ prescriptions","-1.75","50"
"US troop deployments in Iraq to be focus of White House talks this week","-4","47"
"Trump vows US troops in Iraq will return home soon","0.33","49"
"Inconsistencies in account of paratrooper’s disappearance and homicide trouble his family","-0.33","49.67"
"Trump says he didn’t raise issue of bounties on U.S. troops during phone call with Putin","1.33","48.67"
"Thousands of troops are coming home from Germany, but some of them could be going right back","0","49"
"Investigation shows VA took nine months to dismiss physician who taunted suicidal patient","-2","52"
"Conflict between Israel and Hamas brings Milwaukee Muslims out in support of Palestinians","-9.67","40.67"
"https://www.jsonline.com/story/news/solutions/2021/01/06/we-witnessed-coup-attempt-now-we-must-choose-democracy-trump/6574180002/","-11.8","35.8"
"Milwaukee County presidential recount wraps up with Biden adding to his margin over Trump","-2.67","49"
"With Wisconsin's COVID-19 cases high, some bars and restaurants put themselves on lockdown","-1.33","48.33"
"Meatpacking plants tied to more COVID-19 cases than known before, new business outbreak data shows","-0.67","49.33"
"Get Access","0","40.67"
"Mail found in Greenville ditch did not include any Wisconsin ballots","-4","49.67"
"Joe Biden meets with Jacob Blake family, says Trump rhetoric 'legitimizes the dark sides of human nature'","-12.67","52.33"
"Attorney General Josh Kaul declines to provide more details on knife found after Jacob Blake shooting, says most video recovered is dash-cam","-1","52.33"
"Why we aren't reporting on the records of the victims of the Kenosha protest shooting, and answers to other questions about our coverage","-4.33","46.33"
"Wisconsin clerks worry about November election as mail-in ballot requests grow","5","49.33"
"Shooting of Milwaukee girl: 2-year-old was woman's second child to die","-0.5","47.33"
"Group of Wisconsin leaders call for answers on federal agents coming to Milwaukee","-5.17","47.83"
"2020 DNC will meet for just two hours nightly during Milwaukee convention","-2","52.67"
"Milwaukee's Bradford Beach is now 'the most accessible beach in the country' with new ramp, sand wheelchairs","0","55"
"Morales' lawyer accuses Fire and Police Commission of trying to remove chief","-0.33","47"
"Rural hospitals, beyond the rhetoric","-1","46.33"
"The persuasion problem","-2.67","46"
"Lawmakers anxious, excited ahead of 2021 session","0.33","45.67"
"Tribal leaders ratify water compact","0","47.67"
"Daines says he’ll reject ‘disputed’ Electoral College votes barring further review","0.67","47.67"
"State Supreme Court blocks proposed gold mine near Yellowstone","-8.33","45.67"
"Flathead health officer resigns in the face of ‘toxic environment’","-5.67","46.33"
"Montana prepares for initial vaccination push","-4","47"
"COVID strategies could change under Gianforte","-2.67","45"
"‘Last responders’ brace for COVID deaths","-3.67","45.33"
"Rules maneuvers hint at a potential hardline coup in the House","0.67","46.67"
"Tribe sues feds over policing","-1.67","46.33"
"National groups fuel political blitz","0","49.33"
"Politicos explain Montana’s red wave","0","46.33"
"Bullock says cuts aren’t necessary to balance the state budget","-1.67","47"
"Texas Governor Signs Six-Week Abortion Ban, Teeing Up a Litigation Free-for-All","-15","31"
"They Went Back to India to Care for Parents Dying of COVID-19. Now, They’re Stranded.","-5.33","46.33"
"Doctor, Lawyer, Insurrectionist: The Radicalization of Simone Gold","-14.33","32.67"
"The Myth of the Supernegro Comes to Derek Chauvin’s Defense","-12","36.67"
"Georgia’s New Voter Suppression Law Is Hit With Its First Lawsuit","-10","46.5"
"House Democrats Are Showing That Trump Is More Guilty Than You Thought","-7.33","41.67"
"How the Fossil Fuel Industry Convinced Americans to Love Gas Stoves – Mother Jones","-4.33","45.33"
"Biden Has a Plan for Thousands of Asylum Seekers Stuck at the Border","-13.33","45"
"Of Course Trump Will Get Away With Criming While Wealthy and White","-14.67","35.33"
"Murder, Heart Attacks, Suicide, COVID—Immigrants Are Dying in “America’s Waiting Room”","-10.33","34"
"Biden Pledged to Close For-Profit ICE Detention Centers. Will He Follow Through?","-16.67","38.67"
"Roger Stone Did Something Wrong","-17.67","38"
"A Top Biden Cybersecurity Aide Donated Over $500,000 to AIPAC as an NSA Official","-20.33","40"
"Fight Trump Like He’s a Terrorist Leader, National Security Experts Say","-16","35"
"The House Has Impeached Donald Trump—Again – Mother Jones","-1.67","45.33"
"Political Extremists Are Using YouTube to Monetize Their Toxic Ideas","-15","35.33"
"It’s Official. The Senate Just Confirmed Amy Coney Barrett to Replace Ruth Ginsburg on the Supreme Court.","-9.5","42"
"Donald Trump Can’t Denounce White Supremacists Because He Is One","-23.33","24"
"Trump Attacks Them. COVID-19 Threatens Them. But Immigrants Keep the US Fed.","-12","41"
"Donald Trump Has COVID-19 – Mother Jones","-6.33","45.67"
"Trump Is Trashing the Constitution to Stay in Power","-22.33","28.67"
"Trump Defends Police Shooting of Portland Man as “Retribution” – Mother Jones","-25.33","29.67"
"Biden Disinformation Is Ripping Across Facebook the Same Day It Brushed Him Off – Mother Jones","-8.33","41.67"
"Tom Cotton Went on Fox News to Make the Case for a Quick Supreme Court Nomination. It Went Poorly.","-16.2","37.4"
"The McCloskeys Complained About “Ending Single-Family Home Zoning.” That’s a Racist Dog Whistle.","-19.6","36.8"
"Arizona's 'audit' of the 2020 election is a con artist's dream","-14.67","30.67"
"Matt Gaetz wingman Joel Greenberg enters stunning guilty plea. Could it help Gaetz?","-14.33","30.33"
"Texas' new abortion law isn't just dangerous — it's incredibly hypocritical","-15","31"
"How a Devin Nunes Twitter parody account got the best of Trump's DOJ","-11.33","38.67"
"Obama says UFOs are out there. But are they aliens or humans?","-1","36"
"The Trump criminal probe's heating up. Here's why the Trump children might want to lawyer up.","-17.67","34.67"
"Marjorie Taylor Greene doesn't think white people can be terrorists","-19.33","28"
"SCOTUS says that Facebook can keep sending you those robotexts","0","42.67"
"New York's marijuana law can finally reverse the drug war's harm","-8.67","42.67"
"Matt Gaetz just keeps incriminating himself","-13","36.67"
"Biden's first 11 federal judge nominees highlight a highly nuanced diversity","-9","37.67"
"Texans were casualties in Republicans' war on green energy","-6","38.33"
"GOP congressman faces felony charges over alleged voter fraud","-6.5","45.25"
"Joe Biden releases statement on Trump diagnosis","0","52.33"
"Why flailing Republicans are lying about Roe v. Wade","-17","37.33"
"Woodward: Trump is assassinating the presidency","-26","32.33"
"Pence, second lady test negative for Covid-19","-3.67","50"
"Study: Trump is ‘single largest drive’ of coronavirus disinformation","-18.67","38.67"
"Sen. Ron Johnson exposed to someone with Covid-19","-0.67","51"
"Lindsey Graham tries, fails to justify breaking his word","-23.67","36.67"
"Michigan officials announce $600M settlement in Flint water crisis","-9.5","49.5"
"Pushing boycott, Trump suggests Goodyear workers may need new jobs","-16.5","38"
"Unemployment filings disappoint, climb back above 1 million","-7","44"
"Trump struggles to explain the 'culture of lawlessness' around him","-13.67","44.67"
"Russian opposition leader in coma after suspected poisoning","-9.33","47.33"
"Heather Locklear Caught Popping Pills!","0","15"
"Ben Affleck and Jen Garner’s Street Fight!","0","16"
"Scary Pics Spark New Fears For Matthew Perry!","0","17.67"
"Jessica Biel Orders Justin Timberlake To Therapy","0","17.33"
"Cashing In? Prince Harry & Meghan Markle Offered Job As Faces Of ‘Tax Reduction’ In U.S.","0","21.33"
"Brutal 6-Foot, 160-Lb Bird Mauls Owner To Death!","0","36"
"Wendy Williams’ Husband Begs for Forgiveness, Is ‘Not Proud’ of His Recent Actions","2.14","26.57"
"Tiger Woods Is Getting the Presidential Medal of Freedom","4.86","34.14"
"Bill Cosby Slams ‘Despicable’ Insurer for Settling Sex Assault Case Without His OK","2","24.75"
"Wild Sitcom Scandals That Got Big Stars Fired","17","7.67"
"Goldie Hawn and Kurt Russell’s Relationship Secrets Exposed!","9.75","12.25"
"Wendy Williams’Staff Has Been ‘Walking On Eggshells’ After Sober House Confession","0","22"
"Kate Middleton Goes On First Solo Appearance With Queen Months After Meghan Markle","3.67","22.17"
"Prince Charles Bares It All in Rare Bathing Suit Pics","-0.29","20.43"
"Hollywood’s Ugliest Hooves — Big Stars Whose Feet Really Stink","16","9.33"
"Jenna Bush Hager To Take Over for Kathie Lee Gifford on ‘Today’","2.57","30.29"
"18 Of The Raunchiest Political Sex Scandals Throughout History","1.33","3"
"A Timeline of Wendy Williams’ Mysterious Talk Show Disappearance","3.43","18.86"
"Princess Diana Had a Secret Daughter Before Tragic Death!","0.5","0.5"
"BREAKING: Jack Dorsey Says Next Twitter Purge Will Be ‘Much Bigger’ Than Just Donald Trump, And ‘It’s Going To Go On For Much Longer’","14.33","41.33"
"Samantha Power, Who Unmasked Michael Flynn, Nominated by Biden to Top Post","21.33","19.33"
"FAKE NEWS: Will Pence Betray Trump, Go Missing For January 6 Electoral College Challenge? Roll Call Said Yes, Then Reversed","20.33","25.33"
"Former Arkansas Governor Candidate Sears ‘Bilderberg’ Tom Cotton for Siding With Biden on January 6","27","20"
"CAUGHT ON TAPE: Brad Raffensperger Begged For Chinese Votes","31.33","11"
"California Lawmakers Want Wealth Tax That Will Follow Taxpayers When They Inevitably Move to Cheaper States","12.33","30.67"
"United Nations Says America Is Greener Under Trump, Doesn’t Need To Rejoin Paris Climate Accord","22.33","27.33"
"Biden Taps Climate Czar Who Previously Presided Over Millions of Gallons of Pollutants Pouring Into Pristine River","18.33","23.67"
"GEORGIA: U.S. Rep Jody Hice Will Object to Georgia’s Electoral College Votes on January 6","14.67","31.33"
"BERNIE: Voter Fraud Investigations Are ‘Poison’ Pill That Will Keep Dems From Offering $2,000 Direct Stimulus – Report","13.67","31.33"
"Jeffrey Epstein’s Former Cell Mate Is Dead, With No Further Explanation","16.67","16"
"WHAT?! New Study of 10 Million Chinese Finds Asymptomatic Covid Spread Never Existed","27.67","8.67"
"Louie Gohmert Sues Mike Pence, Says He Cannot Accept Electoral Votes From Contested States","21.33","24.67"
"Arizona GOP Demands Ducey Order Early Start to Legislative Session Scheduled for January 11","19","28"
"Arizona GOP Electors Join Lawsuit Against Pence, Asks Court to Define VP’s ‘Exclusive Authority’ to Reject Electors","22","25.33"
"Unions Force Chicago Schools to Hire People to Supervise Kids in Class While Teachers Work Remotely","21","24"
"Tlaib, Omar, Sarsour Support Warnock’s Georgia Run-Off Campaign At CAIR Event","23.67","25.67"
"SOURCES: Tuberville Won’t Publicly Say He Will Back Trump On January 6, Wants To Keep Support Quiet","16","41"
"Law Prohibits Pence From Accepting Electoral Votes From Fraudulently Certified States – Constitutional Lawyer","30","14.33"
"GEORGIA SENATE: ‘Coordinated Illegal Activities’ Happened On November 3, ‘Sufficient To Change The Results’","30","14"
